run_id,track,question,config,seed,graph_seed,params,graph_mode,recurrence_scope,backward_mode,epochs,best_rule,fixed_rule,status,dependency
E-RWG-0,ABLATION,Q2 topology,configs/pose3d/ablation_full_rewired_graph.yaml,0,3407,800083,degree_preserving_rewired,independent,n/a,80,best_ema_test_monitored_first80,ema_fixed_epoch80,RUNNING,USER_CONFIRMATION
E-NR-0,ABLATION,Q3 recurrence boundary,configs/pose3d/ablation_full_no_recurrence_reset_matched.yaml,0,,800083,anatomical,joined,n/a,80,best_ema_test_monitored_first80,ema_fixed_epoch80,PLANNED,USER_CONFIRMATION
D-PM-BWD-0,DIAGNOSTIC,PoseMamba backward,configs/pose3d/diagnostic_posemamba_corrected_backward.yaml,0,,790083,n/a,n/a,exact,80,best_ema_test_monitored_first80,ema_fixed_epoch80,PLANNED,E-RWG-0;E-NR-0;USER_CONFIRMATION
R-A0-1,DIAGNOSTIC,A0 repeatability,configs/pose3d/repro_a0_posemamba_seed1_80e.yaml,1,,790083,n/a,n/a,legacy,80,best_ema_test_monitored_first80,ema_fixed_epoch80,PLANNED,D-PM-BWD-0;USER_CONFIRMATION
R-A2-1,DIAGNOSTIC,A2-Full repeatability,configs/pose3d/repro_a2_graph_feature_seed1_80e.yaml,1,3407,800083,anatomical,independent,n/a,80,best_ema_test_monitored_first80,ema_fixed_epoch80,PLANNED,D-PM-BWD-0;USER_CONFIRMATION
R-FULL-1,DIAGNOSTIC,A0-Full and A2-Full repeatability,configs/pose3d/repro_full_seed1_80e.yaml,1,3407,800083,anatomical,independent,n/a,80,best_ema_test_monitored_first80,ema_fixed_epoch80,PLANNED,D-PM-BWD-0;USER_CONFIRMATION
M-A0-0,IMPROVEMENT,second dataset baseline,configs/pose3d_3dhp/posemamba_3dhp_w64_d6_m1_released_protocol_v2.yaml,0,,779715,n/a,n/a,legacy,120,n/a,ema_fixed_epoch120,PLANNED,R-A0-1;R-A2-1;R-FULL-1;USER_CONFIRMATION
M-FULL-0,IMPROVEMENT,second dataset Full,configs/pose3d_3dhp/graph_posemamba_3dhp_w64_d8_protocol_v2_memopt.yaml,0,3407,789715,anatomical,independent,n/a,120,n/a,ema_fixed_epoch120,PLANNED,M-A0-0;USER_CONFIRMATION
R-A0-2,DIAGNOSTIC,A0 repeatability,configs/pose3d/repro_a0_posemamba_seed2_80e.yaml,2,,790083,n/a,n/a,legacy,80,best_ema_test_monitored_first80,ema_fixed_epoch80,PLANNED,M-FULL-0;USER_CONFIRMATION
R-A2-2,DIAGNOSTIC,A2-Full repeatability,configs/pose3d/repro_a2_graph_feature_seed2_80e.yaml,2,3407,800083,anatomical,independent,n/a,80,best_ema_test_monitored_first80,ema_fixed_epoch80,PLANNED,M-FULL-0;USER_CONFIRMATION
R-FULL-2,DIAGNOSTIC,A0-Full and A2-Full repeatability,configs/pose3d/repro_full_seed2_80e.yaml,2,3407,800083,anatomical,independent,n/a,80,best_ema_test_monitored_first80,ema_fixed_epoch80,PLANNED,M-FULL-0;USER_CONFIRMATION
