epoch,train_minutes,lr,loss,ema_p1,ema_p2,grad_norm
1,23.31,6.4e-05,0.087781,253.229242,139.722308,13.165586
2,23.18,9.7e-05,0.052941,174.984678,105.964516,13.733294
3,23.18,0.000131,0.043323,94.790328,70.486496,13.737309
4,23.19,0.000165,0.035579,67.012003,52.645325,12.167622
5,23.19,0.000199,0.030285,55.835932,45.21131,10.884338
6,23.19,0.000232,0.027638,51.835433,42.279365,9.72497
7,23.19,0.000266,0.032203,99.920909,62.13213,8.851364
8,23.19,0.0003,0.033854,154.400996,95.777123,7.2805
9,23.19,0.0003,0.025066,67.644813,48.704719,6.772861
10,23.19,0.000299,0.021622,49.436096,39.42195,6.114954
11,23.19,0.000298,0.020098,45.480113,36.945138,5.527576
12,23.19,0.000296,0.018407,43.385747,35.759564,5.187608
13,23.19,0.000294,0.017173,42.102932,34.981472,4.756177
14,23.19,0.000291,0.016308,41.316745,34.499936,4.403676
15,23.19,0.000288,0.01526,40.568266,33.986975,4.096852
16,23.2,0.000285,0.014791,40.060368,33.597848,3.75061
17,23.21,0.000281,0.013829,39.69644,33.331945,3.43364
18,23.2,0.000276,0.013467,39.347575,33.052091,3.144254
19,26.66,0.000271,0.012802,39.010655,32.774312,2.915804
20,26.35,0.000266,0.012529,38.759695,32.570227,2.59753
21,24.1,0.00026,0.011819,38.475379,32.352499,2.38469
22,26.0,0.000255,0.011522,38.302085,32.200861,2.221237
23,24.23,0.000248,0.011213,38.405444,32.251726,1.932026
24,24.68,0.000242,0.010818,38.184655,32.066354,1.754302
25,26.79,0.000235,0.010399,37.97057,31.868879,1.57065
26,24.72,0.000228,0.010022,37.865305,31.804106,1.447684
27,25.29,0.00022,0.009629,37.80367,31.761296,1.348351
28,26.88,0.000213,0.009354,37.707988,31.727909,1.206531
29,26.8,0.000205,0.009079,37.586726,31.652149,1.136523
30,26.76,0.000197,0.008728,37.574023,31.614188,1.026628
31,26.25,0.000189,0.008472,37.509723,31.579871,0.967341
32,26.65,0.000181,0.008266,37.430162,31.520564,0.907351
33,26.85,0.000173,0.007998,37.431013,31.509083,0.853018
34,26.76,0.000165,0.007763,37.482817,31.537852,0.802801
35,26.61,0.000157,0.007558,37.491332,31.53009,0.755927
36,26.77,0.000149,0.007347,37.500789,31.51089,0.730684
37,26.4,0.000141,0.007163,37.507104,31.535944,0.691413
38,26.13,0.000133,0.006976,37.511219,31.532028,0.664159
39,25.37,0.000125,0.006778,37.531769,31.55712,0.626475
40,24.87,0.000117,0.006642,37.621119,31.6098,0.601226
41,24.69,0.00011,0.006487,37.654199,31.623995,0.583481
42,23.17,0.000102,0.006324,37.626662,31.594682,0.562409
43,23.17,9.5e-05,0.006183,37.643826,31.597981,0.546186
44,24.19,8.8e-05,0.006042,37.706075,31.634418,0.524201
45,23.17,8.2e-05,0.005908,37.709378,31.649722,0.510249
46,23.17,7.5e-05,0.005789,37.704552,31.651831,0.496364
47,23.19,7e-05,0.005676,37.733279,31.672718,0.481284
48,23.17,6.4e-05,0.005564,37.773919,31.686324,0.465143
49,23.15,5.9e-05,0.005463,37.805506,31.691296,0.45698
50,23.16,5.4e-05,0.005366,37.818591,31.708369,0.447287
51,23.15,4.9e-05,0.005298,37.815624,31.702845,0.42702
52,23.14,4.5e-05,0.005213,37.852043,31.722889,0.419261
53,23.15,4.2e-05,0.005128,37.902417,31.755876,0.407646
54,23.15,3.9e-05,0.005076,37.913791,31.753892,0.396324
